danceability,energy,key,loudness,mode,speechiness,instrumentalness,valence,tempo,id,analysis_url,duration_ms,time_signature,name,artists_name,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence
0.467,0.493,11,-20.407,0,0.0418,0.908,0.183,113.007,5By6F4B1q7iBW96kFvelmC,https://api.spotify.com/v1/audio-analysis/5By6F4B1q7iBW96kFvelmC,70354,4,-,Of Mice & Men,0.718,1,0.306,0.369
0.465,0.937,11,-5.213,0,0.105,7.17e-5,0.403,95.645,4YhfR7gfq5LT00nFH4Q4w5,https://api.spotify.com/v1/audio-analysis/4YhfR7gfq5LT00nFH4Q4w5,238760,4,-1,Mudvayne,0.129,1,0.529,0.452
0.483,0.894,9,-4.164,1,0.0546,0.00394,0.284,140.058,1SCFa6gt3r6juLsIqpdwY3,https://api.spotify.com/v1/audio-analysis/1SCFa6gt3r6juLsIqpdwY3,200200,4,!liaF cipE,One Morning Left,0.855,0.739,0.616,0.562
0.705,0.255,7,-18.23,1,0.937,0,0.27,130.613,2wucWJFrTDJ8XIRSMN5fge,https://api.spotify.com/v1/audio-analysis/2wucWJFrTDJ8XIRSMN5fge,82107,3,#elchtransformer,Eskimo Callboy,0.057,0.656,0.851,0.641
0.521,0.986,10,-4.55,0,0.0845,0.0173,0.418,132.035,00HVgeNYS1Wvhvhpa27kbs,https://api.spotify.com/v1/audio-analysis/00HVgeNYS1Wvhvhpa27kbs,258773,4,(ディス・イズ・アワ)ハウス,In Flames,0.88,0.961,0.512,0.52
0.312,0.529,0,-12.228,1,0.0556,0.811,0.0819,113.048,4DwUKMDj7MgUMTuyA8ef0n,https://api.spotify.com/v1/audio-analysis/4DwUKMDj7MgUMTuyA8ef0n,59893,3,(515),Slipknot,0.42,0.474,0.297,0.506
0.494,0.945,6,-5.378,0,0.0965,0.00118,0.618,174.001,2wW7tugnC1vb3mwExsBGX9,https://api.spotify.com/v1/audio-analysis/2wW7tugnC1vb3mwExsBGX9,426373,4,(k)Now F(orever),Mudvayne,0.745,0.053,0.387,0.439
0.312,0.759,2,-4.992,0,0.0342,0.791,0.0916,140.069,4hYNZvsCnAOZP0lADhpmgC,https://api.spotify.com/v1/audio-analysis/4hYNZvsCnAOZP0lADhpmgC,302413,4,(L)MIRL,Deftones,0.391,0.869,0.608,0.497
0.515,0.679,2,-7.712,1,0.0383,6.88e-5,0.0393,112.003,1kRBDF3c64BS6espbBnHxa,https://api.spotify.com/v1/audio-analysis/1kRBDF3c64BS6espbBnHxa,407933,4,(Memory Imprints) Never End,Fear Factory,0.643,0.89,0.985,0.909
0.166,0.374,10,-15.301,0,0.0432,0.135,0.142,82.865,4UZKQZ303SNRlYFnfkl2G1,https://api.spotify.com/v1/audio-analysis/4UZKQZ303SNRlYFnfkl2G1,169080,5,(No Oasis),Underoath,0.062,0.891,0.557,0.504
0.544,0.913,9,-4.685,1,0.0441,0,0.328,130.005,5NTRA9B245BLLMMttJJuPD,https://api.spotify.com/v1/audio-analysis/5NTRA9B245BLLMMttJJuPD,263593,4,(R)Evolution,HammerFall,0.752,1,0.894,0.61
0.437,0.447,11,-5.949,0,0.0917,0.108,0.0365,89.294,1LkjMNCu16QUwHJbzTqPnR,https://api.spotify.com/v1/audio-analysis/1LkjMNCu16QUwHJbzTqPnR,339507,4,(Reprise) Sandblasted Skin,Pantera,0.017,0.767,0.943,0.67
0.38,0.994,7,-4.638,1,0.124,0.00128,0.267,96.325,5u2qiqQGUBy8fvXTvs9i2X,https://api.spotify.com/v1/audio-analysis/5u2qiqQGUBy8fvXTvs9i2X,199881,4,(sic),Slipknot,0.622,0.92,0.163,0.392
0.521,0.984,10,-4.957,0,0.0817,0.018,0.465,132.039,3NmUwOku3fXG9hKoZr29eb,https://api.spotify.com/v1/audio-analysis/3NmUwOku3fXG9hKoZr29eb,258773,4,(This Is Our) House,In Flames,0.86,0.961,0.557,0.544
0.497,0.958,0,-5.411,0,0.0589,4.53e-5,0.384,149.985,2u2aCaJyLcbCeB66CJsNOd,https://api.spotify.com/v1/audio-analysis/2u2aCaJyLcbCeB66CJsNOd,255527,4,(We Make) Sweden Rock,HammerFall,0.102,0.953,0.233,0.164
0.416,0.895,2,-7.423,1,0.0924,0.11,0.345,160.354,5GMKjrDygBsbsAU0U0FyDZ,https://api.spotify.com/v1/audio-analysis/5GMKjrDygBsbsAU0U0FyDZ,398627,4,(We Were) Electrocute,Type O Negative,0.196,0.974,0.31,0.547
0.277,0.855,6,-7.914,1,0.0628,0.258,0.239,120.022,3E71eJf7crlDwVY1lHFb8R,https://api.spotify.com/v1/audio-analysis/3E71eJf7crlDwVY1lHFb8R,433071,4,...A Dish Best Served Coldly,Type O Negative,0.06,0.559,0.534,0.595
0.361,0.975,4,-4.955,0,0.153,0.93,0.0693,137.979,2dxlfJhdNKW64ZOQEVyJcR,https://api.spotify.com/v1/audio-analysis/2dxlfJhdNKW64ZOQEVyJcR,417040,4,...And The World Will Cease To Be,Amon Amarth,0.881,0.993,0.498,0.44
0.425,0.996,0,-3.331,1,0.129,0.00888,0.206,131.054,1Ux3Qnrlff7RJwtj1yUJQj,https://api.spotify.com/v1/audio-analysis/1Ux3Qnrlff7RJwtj1yUJQj,261600,4,...In a Bag,Static-X,0.962,1,0.703,0.61
0.239,0.953,11,-6.96,1,0.127,0.916,0.0159,110.342,6KrU4jP8nGqNba1LJSEllS,https://api.spotify.com/v1/audio-analysis/6KrU4jP8nGqNba1LJSEllS,108560,3,.execute.,Slipknot,0.145,0.951,0.509,0.47
0.229,0.769,10,-5.975,1,0.126,0.156,0.0387,119.539,79GjAvDBHrLO7ky0XAJ4ln,https://api.spotify.com/v1/audio-analysis/79GjAvDBHrLO7ky0XAJ4ln,206520,4,//M\\,HEALTH,0.469,0.586,0.079,0.383
0.643,0.933,4,-6.834,0,0.132,7.99e-5,0.542,111.846,0Fg2E193xW4bTvkTuDa5rN,https://api.spotify.com/v1/audio-analysis/0Fg2E193xW4bTvkTuDa5rN,266240,4,¡authority,Suicidal Tendencies,0.865,1,0.443,0.38
0.0776,0.122,10,-17.157,1,0.0404,0.918,0.0611,173.261,6zB9rcgWEe1wpXe7x0Arxv,https://api.spotify.com/v1/audio-analysis/6zB9rcgWEe1wpXe7x0Arxv,84766,5,+,Of Mice & Men,0.127,0.321,1,0.869
0.148,0.328,6,-15.189,1,0.0363,0.964,0.0382,78.122,2ipL9mj2PLt8mNJkvtDK7V,https://api.spotify.com/v1/audio-analysis/2ipL9mj2PLt8mNJkvtDK7V,86827,4,+90,HEALTH,0.125,0.743,0.738,0.6
0.316,0.514,9,-9.085,1,0.0409,0.487,0.0613,179.994,2D5Bfhd2eV38s0BMS2PqgZ,https://api.spotify.com/v1/audio-analysis/2D5Bfhd2eV38s0BMS2PqgZ,235016,4,این نیز بگذرد,Imminence,0.114,0.422,0,0
0.609,0.948,9,-4.052,0,0.0418,0,0.551,128.028,29ruNsrxTT7ugeA7Ps10Wh,https://api.spotify.com/v1/audio-analysis/29ruNsrxTT7ugeA7Ps10Wh,263760,4,ふるさとは遠きにありて思ふもの,Korpiklaani,0.834,0.593,0.036,0.023
0.472,0.987,10,-4.213,0,0.0837,0.016,0.474,104.988,74mbXeN2kihqJtCYXJUTuy,https://api.spotify.com/v1/audio-analysis/74mbXeN2kihqJtCYXJUTuy,221387,4,アイ、ザ・マスク,In Flames,0.793,0.831,0.26,0.436
0.412,0.95,11,-3.176,0,0.129,0.00959,0.193,145.071,4qRExTRMX1SysyEvBvegg4,https://api.spotify.com/v1/audio-analysis/4qRExTRMX1SysyEvBvegg4,242693,3,アイボリー・ブラック,Imminence,0.52,0.778,0.578,0.543
0.547,0.979,10,-4.694,0,0.115,5.62e-6,0.177,120.022,6b7LEuMicP5xzHdyIAxEMw,https://api.spotify.com/v1/audio-analysis/6b7LEuMicP5xzHdyIAxEMw,229816,4,アイ・アム・アバヴ,In Flames,0.864,0.96,0.652,0.646
0.48,0.901,1,-5.552,0,0.0347,0.459,0.676,92.061,4hRmndTC1WoG8IQyl6q396,https://api.spotify.com/v1/audio-analysis/4hRmndTC1WoG8IQyl6q396,277560,4,アイ・ウォント・アウト,HammerFall,0.609,1,0.697,0.635
0.466,0.922,6,-4.799,1,0.0416,0.0118,0.584,91.986,6owWZbwgcGkLFk01DrMmiP,https://api.spotify.com/v1/audio-analysis/6owWZbwgcGkLFk01DrMmiP,245796,4,アット・ジ・エンド・オブ・ザ・レインボー,HammerFall,0.479,0.5,0.651,0.622
0.319,0.912,5,-5.22,0,0.0397,0.0384,0.357,94.199,31hBiwNkMlD2BKv9H7vdBy,https://api.spotify.com/v1/audio-analysis/31hBiwNkMlD2BKv9H7vdBy,259991,4,アット・ジ・エンド・オブ・ザ・レインボー - ライヴ,HammerFall,0.458,1,0.187,0.325
0.463,0.927,4,-4.243,1,0.189,0.247,0.201,149.841,3mTjRfjOgqOeVAdTNd36S6,https://api.spotify.com/v1/audio-analysis/3mTjRfjOgqOeVAdTNd36S6,274587,4,アップ,Imminence,0.14,0.962,0.448,0.377
0.441,0.948,0,-4.182,0,0.0799,8.94e-5,0.437,136.857,145kpsFzmrKgp83eD5JGIA,https://api.spotify.com/v1/audio-analysis/145kpsFzmrKgp83eD5JGIA,290078,3,アモングスト・スターズ,Amorphis,0.757,0.655,0.537,0.489
0.313,0.974,7,-4.158,0,0.186,0.0144,0.221,175.165,44kGJmgkuxsDJBZc72PHTT,https://api.spotify.com/v1/audio-analysis/44kGJmgkuxsDJBZc72PHTT,230981,4,アンアウェア,Annisokay,0.388,0.991,0.487,0.588
0.305,0.89,11,-7.028,1,0.0815,0.00804,0.198,98.246,1IxUlHcpxzt0wqYm76MTl1,https://api.spotify.com/v1/audio-analysis/1IxUlHcpxzt0wqYm76MTl1,449847,4,アンティソーシャル,Anthrax,0.246,0.745,0.53,0.523
0.226,0.958,3,-5.118,0,0.136,1.91e-4,0.291,92.281,5xeH1r6skt5IM5cMCKim4s,https://api.spotify.com/v1/audio-analysis/5xeH1r6skt5IM5cMCKim4s,215970,4,イノセンス・ワズ・ヒア,Annisokay,0.381,0.955,0.454,0.527
0.458,0.988,0,-3.806,0,0.0772,1.72e-4,0.167,140.019,2tzAs87qQ3WESwaDMkV0d0,https://api.spotify.com/v1/audio-analysis/2tzAs87qQ3WESwaDMkV0d0,275067,4,イフ・ゼアズ・ナッシング・トゥ・シー,We Came As Romans,0.771,0.987,0.676,0.643
0.502,0.901,1,-5.246,1,0.0435,2.74e-4,0.34,124.979,1JkVEfjix9A74oxBl5UzvA,https://api.spotify.com/v1/audio-analysis/1JkVEfjix9A74oxBl5UzvA,232793,4,イン・ディス・ライフ,In Flames,0.827,0.989,0.468,0.481
0.341,0.964,7,-5.113,0,0.105,0.0451,0.201,138.46,16IlUlGSG34vF3WxDrV8xt,https://api.spotify.com/v1/audio-analysis/16IlUlGSG34vF3WxDrV8xt,299672,4,ウィ・アカースト,Amorphis,0.451,0.885,0.311,0.541
0.566,0.889,4,-5.028,0,0.0315,0,0.557,96.996,1q6f7kbr4m9l1mbYNepDd5,https://api.spotify.com/v1/audio-analysis/1q6f7kbr4m9l1mbYNepDd5,209951,4,ウィ・ウィル・ファイト,Battle Beast,0.781,0.656,0.617,0.734
0.477,0.937,2,-4.97,0,0.0744,7.66e-5,0.379,92.499,0ICRA0H6SLMT4cb4Ooo4ql,https://api.spotify.com/v1/audio-analysis/0ICRA0H6SLMT4cb4Ooo4ql,244899,4,ウィ・ウィル・リメンバー,In Flames,0.199,1,0.154,0.468
0.409,0.951,6,-3.414,1,0.0716,2.55e-4,0.79,169.919,7DwA56I7yVRvQdCjwFZzov,https://api.spotify.com/v1/audio-analysis/7DwA56I7yVRvQdCjwFZzov,226793,4,ウェイステッド・エイジ,We Came As Romans,0.262,0.849,0.685,0.602
0.489,0.993,6,-4.474,1,0.122,0.22,0.218,141.983,3FEPGXVWiydTSRZAYm6Oom,https://api.spotify.com/v1/audio-analysis/3FEPGXVWiydTSRZAYm6Oom,284333,4,ウォリアーズ・オブ・フェイス,HammerFall,0.965,0.829,0.32,0.471
