danceability,energy,key,loudness,mode,speechiness,instrumentalness,valence,tempo,id,analysis_url,duration_ms,time_signature,name,artists_name,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence
0.199,0.403,9,-21.416,1,0.0897,0.8,0.0394,75.359,43HXMrFED3RYt3oJDb5WGd,https://api.spotify.com/v1/audio-analysis/43HXMrFED3RYt3oJDb5WGd,87871,4,- Remember -,Loathe,0.186,0.306,0,0.167
0.383,0.114,5,-31.982,1,0.0514,0.835,0.0659,120.442,2OEqMAeOPTo0tQileX7Qhl,https://api.spotify.com/v1/audio-analysis/2OEqMAeOPTo0tQileX7Qhl,55295,4,"- The Moment?""",Loathe,0.413,0.707,0.63,0.486
0.331,0.911,0,-8.183,1,0.114,8.71e-6,0.156,153.164,3RsLggbLbpJGiibFHyEpRy,https://api.spotify.com/v1/audio-analysis/3RsLggbLbpJGiibFHyEpRy,371360,4,! (Foreword),Pain of Salvation,0.009,0.617,0.374,0.522
0.283,0.8,0,-5.524,1,0.0854,2.07e-4,0.196,153.551,19vE5PqTbwFOIo5uRkaowr,https://api.spotify.com/v1/audio-analysis/19vE5PqTbwFOIo5uRkaowr,407173,4,! (Forward),Pain of Salvation,0.167,0.966,0.268,0.627
0.161,0.0476,1,-27.19,0,0.0363,0.967,0.118,141.356,4BtIEstsX6oVc888ZvuGFC,https://api.spotify.com/v1/audio-analysis/4BtIEstsX6oVc888ZvuGFC,31335,4,"""Do You -",Loathe,0.066,1,0.751,0.679
0.437,0.654,11,-8.441,0,0.0336,0.0268,0.243,168.093,1PvvGV08vgTQIW8qhiHAtN,https://api.spotify.com/v1/audio-analysis/1PvvGV08vgTQIW8qhiHAtN,293507,4,#Addicted,Riverside,0.511,0.934,0.746,0.547
0.423,0.742,2,-9.752,0,0.0455,4.48e-4,0.236,132.086,5ZyfGOnh6RwzGETqcPYKD6,https://api.spotify.com/v1/audio-analysis/5ZyfGOnh6RwzGETqcPYKD6,220227,4,(Don't Forget To) Breathe,Arena,0.519,0.919,0.379,0.339
0.242,0.316,0,-18.016,0,0.0432,0.795,0.0385,156.085,6ey4EmmmFEcq3ZuzFIYE3U,https://api.spotify.com/v1/audio-analysis/6ey4EmmmFEcq3ZuzFIYE3U,237200,4,(Mass for Atropos I),Gazpacho,0.056,0.697,0.749,0.465
0.481,0.64,5,-7.011,0,0.0431,1.13e-4,0.747,170.034,3AmHgK4pav2FFEqMepgJXI,https://api.spotify.com/v1/audio-analysis/3AmHgK4pav2FFEqMepgJXI,260880,3,(Saving up for An) Anal Bleach,Freak Kitchen,0.078,0.162,0.012,0.31
0.53,0.776,7,-7.04,0,0.0441,7.15e-5,0.228,134.107,2AQSCPiseTwKsVi6aKTdTz,https://api.spotify.com/v1/audio-analysis/2AQSCPiseTwKsVi6aKTdTz,534253,4,(The Future Was) Not As Good As the Book,The Tangent,0.135,0.979,0.456,0.421
0.551,0.746,5,-4.94,1,0.0481,0.518,0.246,130.194,7vHtud9agSAnGxn42pj864,https://api.spotify.com/v1/audio-analysis/7vHtud9agSAnGxn42pj864,112040,4,...,Wolverine,0.282,0.972,0.423,0.587
